Entity ID,Common Name,Scientific Name,Where Listed,Species Group,FWS Lead Region,FWS Listing Status,Critical Habitat Type,Federal Register Publication,Critical Habitat Shapefile,tsn,Acres and Miles
870,"Wild-rice, Texas",Zizania texana,Wherever found,Flowering Plants,Region 2,Endangered,Final,Federal Register (1980-07-14),Download,41321,119.3 acres
871,"Pennyroyal, Todsen's",Hedeoma todsenii,Wherever found,Flowering Plants,Region 2,Endangered,Final,Federal Register (1981-01-19),Download,32509,475.5 acres
884,"Milkweed, Welsh's",Asclepias welshii,Wherever found,Flowering Plants,Region 6,Threatened,Final,Federal Register (1987-10-28),Download,30325,3239.0 acres
888,"Milk-vetch, heliotrope",Astragalus montii,Wherever found,Flowering Plants,Region 6,Threatened,Final,Federal Register (1987-11-06),Download,25592,56.1 acres
926,"Sunray, Ash Meadows",Enceliopsis nudicaulis var. corrugata,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (1985-05-20),Download,196274,1800.4 acres
930,"wild buckwheat, clay-loving",Eriogonum pelinophilum,Wherever found,Flowering Plants,Region 6,Endangered,Final,Federal Register (1984-07-13),Download,21219,104.8 acres
941,"Gumplant, Ash Meadows",Grindelia fraxinipratensis,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (1985-05-20),Download,780681,2088.4 acres
973,"Niterwort, Amargosa",Nitrophila mohavensis,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (1985-05-20),Download,20704,1051.0 acres
1058,"Heather, mountain golden",Hudsonia montana,Wherever found,Flowering Plants,Region 4,Threatened,Final,Federal Register (1980-10-20),Download,22276,1304.6 acres
4377,Alani,Melicope hiiakae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,516975,25740.9 acres
312,"Sucker, Santa Ana",Catostomus santaanae,3 CA river basins,Fishes,Region 8,Threatened,Final,Federal Register (2010-12-14),Download,163912,9273.0 acres
1221,"Kite, Everglade snail",Rostrhamus sociabilis plumbeus,Wherever found,Birds,Region 4,Endangered,Final,Federal Register (1977-09-22),Download,175296,840153.6 acres
1922,"Wolf, gray",Canis lupus,Eastern Distinct Population Segment,Mammals,Region 3,Proposed Endangered,Proposed,Federal Register (1977-06-09),,180596,
4318,"Topminnow, barrens",Fundulus julisia,Wherever found,Fishes,Region 4,Proposed Endangered,Proposed,Federal Register (1979-07-27),,165677,
1030,"Water-umbel, Huachuca",Lilaeopsis schaffneriana var. recurva,Wherever found,Flowering Plants,Region 2,Endangered,Final,Federal Register (1999-07-12),Download,182174,689.4 acres
8395,"Salamander, California tiger",Ambystoma californiense,U.S.A. (CA - Santa Barbara County),Amphibians,Region 8,Endangered,Final,Federal Register (2004-11-24),Download,173595,10973.1 acres
306,"Goby, tidewater",Eucyclogobius newberryi,Wherever found,Fishes,Region 8,Endangered,Final,Federal Register (2013-02-06),Download,171916,12060.9 acres
1181,Haha,Cyanea koolauensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,507716,25740.9 acres
1027,"Flannelbush, Mexican",Fremontodendron mexicanum,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2007-09-27),Download,21581,176.1 acres
527,"Spurge, Hoover's",Chamaesyce hooveri,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2006-02-10),Download,501427,114942.0 acres
4487,No common name,Keysseria (=Lagenifera) erici,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,38781,14384.1 acres
868,"Iliau, dwarf",Wilkesia hobdyi,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,196323,1914.0 acres
491,"Fairy shrimp, longhorn",Branchinecta longiantenna,Wherever found,Crustaceans,Region 8,Endangered,Final,Federal Register (2006-02-10),Download,624022,13618.2 acres
2268,No common name,Doryopteris takeuchii,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,897683,705.7 acres
1177,Hau kuahiwi,Hibiscadelphus woodii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),,507890,
736,"Ma`o hau hele, (=native yellow hibiscus)",Hibiscus brackenridgei,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,21641,29626.4 acres
1159,A`e,Zanthoxylum dipetalum var. tomentosum,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,530907,4162.6 acres
375,"Threeridge, fat (mussel)",Amblema neislerii,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2007-11-15),Download,80038,443.9 miles
1102,Haha,Cyanea glabra,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,501863,38586.0 acres
597,Wahane,Pritchardia aylmer-robinsonii,Wherever found,Flowering Plants,Region 1,Endangered,Not Prudent,Federal Register (2003-02-27),,42464,
546,"Yerba santa, Lompoc",Eriodictyon capitatum,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2002-11-07),Download,31366,6347.0 acres
867,No common name,Viola oahuensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,22189,31073.3 acres
358,"Mussel, oyster",Epioblasma capsaeformis,Wherever found; Except where listed as Experimental Populations,Clams,Region 4,Endangered,Final,Federal Register (2004-08-31),Download,80306,467.1 miles
