Entity ID,Common Name,Scientific Name,Where Listed,Species Group,FWS Lead Region,FWS Listing Status,Critical Habitat Type,Federal Register Publication,Critical Habitat Shapefile,tsn,Acres and Miles
10151,"rockfish, canary",Sebastes pinniger,Puget Sound - Georgia Basin DPS,Fishes,NOAA,Threatened,Final,Federal Register (2016-11-02),,166734,
1202,No common name,Pteris lidgatei,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,897692,15820.3 acres
6841,"Pearlymussel, slabside",Pleuronaia dolabelloides,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2013-09-26),Download,-1179,908.0 miles
7349,"sandshell, Southern",Hamiota australis,Wherever found,Clams,Region 4,Threatened,Final,Federal Register (2012-10-10),Download,-1162,562.2 miles
4773,"Salamander, California tiger",Ambystoma californiense,U.S.A. (Central CA DPS),Amphibians,Region 8,Threatened,Final,Federal Register (2005-08-23),Download,173595,196948.3 acres
1497,Hala pepe,Pleomele fernaldii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),0 Acres or Miles Designated,43188,0 Acres or Miles
1088,"Milk-vetch, Shivwits",Astragalus ampullarioides,Wherever found,Flowering Plants,Region 6,Endangered,Final,Federal Register (2006-12-27),Download,820304,2239.3 acres
928,"Daisy, Parish's",Erigeron parishii,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2002-12-24),Download,35919,3962.3 acres
772,Alani,Melicope pallida,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196044,7747.3 acres
1147,No common name,Schiedea kauaiensis,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,565491,2290.3 acres
548,"Wild-buckwheat, southern mountain",Eriogonum kennedyi var. austromontanum,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2007-12-26),Download,528003,789.1 acres
1233,"Daisy, Willamette",Erigeron decumbens,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2006-10-31),Download,35848,642.9 acres
565,Kamakahala,Labordia triflora,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,29948,8770.3 acres
272,"Minnow, Devils River",Dionda diaboli,Wherever found,Fishes,Region 2,Threatened,Final,Federal Register (2008-08-12),Download,163514,14.8 miles
130,"Plover, piping",Charadrius melodus,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",Birds,Region 3,Endangered,Final,Federal Register (2001-05-07),Download,176507,43720.9 acres
728,No common name,Kadua parvula,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,515426,9454.4 acres
1361,"Damselfly, blackline Hawaiian",Megalagrion nigrohamatum nigrolineatum,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,722170,31073.3 acres
4210,"Spinymussel, Altamaha",Elliptio spinosa,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2011-10-11),Download,79969,136.2 miles
535,Haha,Cyanea humboldtiana,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,507715,31073.3 acres
6522,Akekee,Loxops caeruleirostris,Wherever found,Birds,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,554341,17261.3 acres
1139,No common name,Phyllostegia wawrana,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,196179,4317.7 acres
118,"Crow, Mariana (=aga)",Corvus kubaryi,Wherever found,Birds,Region 1,Endangered,Final,Federal Register (2004-10-28),Download,179744,6373.0 acres
4479,"Springsnail, Phantom",Pyrgulopsis texana,Wherever found,Snails,Region 2,Endangered,Final,Federal Register (2013-07-09),Download,-1177,19.2 acres
494,"Tadpole shrimp, vernal pool",Lepidurus packardi,Wherever found,Crustaceans,Region 8,Endangered,Final,Federal Register (2006-02-10),Download,684669,228380.4 acres
9021,"Salmon, coho",Oncorhynchus (=Salmo) kisutch,Lower Columbia River ESU,Fishes,NOAA,Threatened,Final,Federal Register (2016-11-02),Download,161977,2088.8 miles
7495,"Checkerspot, Taylor's (=whulge)",Euphydryas editha taylori,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2013-10-03),Download,201295,1633.7 acres
832,Popolo ku mai,Solanum incompletum,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,505266,18723.1 acres
7529,No common name,Asplenium dielmannii,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,897130,2868.1 acres
3653,Nohoanu,Geranium hillebrandii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,895178,2019.4 acres
10233,No common name,Schiedea laui,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,823603,5110.1 acres
6632,"Reedgrass, Hillegrand's",Calamagrostis hillebrandii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,40568,1479.1 acres
7855,"Salmon, Chinook",Oncorhynchus (=Salmo) tshawytscha,Sacramento River winter-run ESU,Fishes,NOAA,Endangered,Final,Federal Register (1999-03-23),,161980,
1185,Haha,Cyanea copelandii ssp. haleakalaensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,523919,41420.0 acres
1157,No common name,Trematolobelia singularis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,505567,31073.3 acres
453,"Beetle, Comal Springs riffle",Heterelmis comalensis,Wherever found,Insects,Region 2,Endangered,Final,Federal Register (2013-10-23),Download,193733,28.2 acres
766,Alani,Melicope haupuensis,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,196026,
725,Kio`ele,Kadua coriacea,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,846013,3897.9 acres
1119,"Tarplant, Gaviota",Deinandra increscens ssp. villosa,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2002-11-07),Download,780726,9932.1 acres
3385,"Snail, Lanai tree",Partulina variabilis,Wherever found,Snails,Region 1,Endangered,Final,Federal Register (2016-03-30),0 Acres or Miles Designated,-24,0 Acres or Miles
646,Ko`oko`olau,Bidens wiebkei,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,35778,17892.9 acres
616,No common name,Abutilon eremitopetalum,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),,21678,
4248,"Sculpin, Grotto",Cottus specus,Wherever found,Fishes,Region 3,Endangered,Final,Federal Register (2013-09-25),0 Acres or Miles Designated,-548,0 Acres or Miles
256,"Chub, Virgin River",Gila seminuda (=robusta),Wherever found,Fishes,Region 6,Endangered,Final,Federal Register (2000-01-26),Download,553395,2973.1 acres
538,No common name,Delissea undulata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,34765,3026.2 acres
383,"Pigtoe, southern",Pleurobema georgianum,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2004-07-01),Download,80100,357.3 miles
353,"Combshell, Cumberlandian",Epioblasma brevidens,Wherever found; Except where listed as Experimental Populations,Clams,Region 4,Endangered,Final,Federal Register (2004-08-31),Download,80304,467.1 miles
1052,haha,Cyanea gibsonii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),,196209,
1710,"Gladecress, Fleshy-fruit",Leavenworthia crassa,Wherever found,Flowering Plants,Region 4,Endangered,Final,Federal Register (2014-08-26),Download,503348,18.0 acres
10043,"Bat, Northern long-eared",Myotis septentrionalis,Wherever found,Mammals,Region 3,Threatened,Not Prudent,Federal Register (2016-04-27),,180000,
5104,No common name,Lysimachia venosa,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,195809,963.0 acres
3364,"Hornsnail, rough",Pleurocera foremani,Wherever found,Snails,Region 4,Endangered,Final,Federal Register (2010-11-02),Download,71557,22.2 miles
1184,No common name,Phyllostegia kaalaensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,565402,9454.4 acres
1186,Haha,Cyanea hamatiflora ssp. hamatiflora,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,523926,48191.3 acres
1156,No common name,Stenogyne campanulata,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),,505367,
9382,"Coral, staghorn",Acropora cervicornis,Wherever found,Corals,NOAA,Threatened,Final,Federal Register (2008-11-26),Download,52862,1905062.3 acres
822,No common name,Schiedea kaalae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,20211,38877.7 acres
1086,"Milk-vetch, Cushenbury",Astragalus albens,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2002-12-24),Download,25406,4110.6 acres
983,No common name,Platanthera holochila,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,196422,30733.6 acres
808,Lo`ulu,Pritchardia munroi,Wherever found,Flowering Plants,Region 1,Endangered,Not Prudent,Federal Register (2003-03-18),,42489,
8962,"Bat, Mariana fruit (=Mariana flying fox)",Pteropus mariannus mariannus,Wherever found,Mammals,Region 1,Threatened,Final,Federal Register (2004-10-28),Download,-257,340.2 acres
1220,"Lichen, rock gnome",Gymnoderma lineare,Wherever found,Lichens,Region 4,Endangered,Not Prudent,Federal Register (2001-10-09),,189994,
771,Alani,Melicope ovalis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,196042,39538.0 acres
8338,Ko`oko`olau,Bidens conjuncta,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,35742,7952.7 acres
232,"Stickleback, unarmored threespine",Gasterosteus aculeatus williamsoni,Wherever found,Fishes,Region 8,Endangered,Not Prudent,Federal Register (2002-09-17),,201979,
1259,"fly, Hawaiian picture-wing",Drosophila differens,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2008-12-04),Download,-1020,988.2 acres
1137,No common name,Phyllostegia velutina,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,504364,8973.0 acres
367,"Combshell, upland",Epioblasma metastriata,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2004-07-01),Download,80321,457.9 miles
6662,"Darter, yellowcheek",Etheostoma moorei,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (2012-10-16),Download,168412,85.9 miles
1010,"Penny-cress, Kneeland Prairie",Thlaspi californicum,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2002-10-09),Download,508155,66.7 acres
8278,"Salmon, sockeye",Oncorhynchus (=Salmo) nerka,Snake River ESU,Fishes,NOAA,Endangered,Final,Federal Register (1999-03-23),,161979,
1211,No common name,Asplenium unisorum,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,897129,9454.4 acres
581,No common name,Neraudia ovata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,19179,7341.8 acres
863,Pamakani,Viola chamissoniana ssp. chamissoniana,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,195689,9454.4 acres
9953,Haiwale,Cyrtandra paliku,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,828426,963.0 acres
1062,Lo`ulu,Pritchardia kaalae,Wherever found,Flowering Plants,Region 1,Endangered,Not Prudent,Federal Register (2003-06-17),,42477,
10153,"rockfish, yelloweye",Sebastes ruberrimus,Puget Sound - Georgia Basin DPS,Fishes,NOAA,Threatened,Final,Federal Register (2016-11-02),,166740,
5610,"Butterfly, Island marble",Euchloe ausonides insulanus,Wherever found,Insects,Region 1,Proposed Endangered,Proposed,Federal Register (2018-04-12),Download,778540,813.0 acres
10231,No common name,Phyllostegia pilosa,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,832860,35020.9 acres
9960,No common name,Phyllostegia renovans,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,832862,19266.4 acres
690,Ha`iwale,Cyrtandra polyantha,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,34228,33692.4 acres
291,"Sucker, shortnose",Chasmistes brevirostris,Wherever found,Fishes,Region 8,Endangered,Final,Federal Register (2012-12-11),Download,163961,123657.4 acres
10222,haha,Cyanea duvalliorum,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,845357,37219.4 acres
673,`Oha wai,Clermontia pyrularia,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,34660,6715.4 acres
1257,"fly, Hawaiian picture-wing",Drosophila hemipeza,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2008-12-04),Download,-811,933.3 acres
4086,"Mucket, Neosho",Lampsilis rafinesqueana,Wherever found,Clams,Region 4,Endangered,Final,Federal Register (2015-04-30),Download,80022,500.3 miles
737,"Hibiscus, Clay's",Hibiscus clayi,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,21642,1990.0 acres
645,Ko`oko`olau,Bidens micrantha ssp. kalealaha,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,196220,59101.4 acres
3728,Alani,Melicope makahae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196034,9454.4 acres
864,No common name,Viola helenae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),,505713,
731,No common name,Hesperomannia arborescens,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,38772,15820.3 acres
1187,Kohe malama malama o kanaloa,Kanaloa kahoolawensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,507828,6141.4 acres
773,Alani,Melicope quadrangularis,Wherever found,Flowering Plants,Region 1,Endangered,Not Prudent,Federal Register (2003-02-27),,196049,
846,Pamakani,Tetramolopium capillare,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,38825,8478.9 acres
522,"Owl's-clover, fleshy",Castilleja campestris ssp. succulenta,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2006-02-10),Download,524899,175717.0 acres
1378,"spineflower, Scotts Valley",Chorizanthe robusta var. hartwegii,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2002-05-29),Download,527355,278.2 acres
634,"Silversword, Mauna Loa (=Ka'u)",Argyroxiphium kauense,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,38728,35479.2 acres
1189,"Sedge, golden",Carex lutea,Wherever found,Flowering Plants,Region 4,Endangered,Final,Federal Register (2011-03-01),Download,507766,139.0 acres
859,"Grass, Solano",Tuctoria mucronata,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2006-02-10),Download,202499,436.1 acres
654,`Awikiwiki,Canavalia molokaiensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,501184,24973.9 acres
659,Kamanomano,Cenchrus agrimonioides,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,40579,20739.1 acres
576,"Monardella, willowy",Monardella viminea,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2012-03-06),Download,833060,80.1 acres
530,"Thistle, Suisun",Cirsium hydrophilum var. hydrophilum,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2007-04-12),Download,527372,2054.5 acres
649,Olulu,Brighamia insignis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),Download,34622,5064.1 acres
4437,"Tryonia, Diamond",Pseudotryonia adamantina,Wherever found,Snails,Region 2,Endangered,Final,Federal Register (2013-07-09),Download,-1178,463.0 acres
775,Alani,Melicope zahlbruckneri,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,196059,2295.4 acres
147,"Eider, Steller's",Polysticta stelleri,AK breeding pop.,Birds,Region 7,Threatened,Final,Federal Register (2001-02-02),Download,175153,1819463.2 acres
3280,"Sucker, Zuni bluehead",Catostomus discobolus yarrowi,Wherever found,Fishes,Region 2,Endangered,Final,Federal Register (2016-06-07),Download,-304,31.0 miles
493,"Fairy shrimp, vernal pool",Branchinecta lynchi,Wherever found,Crustaceans,Region 8,Threatened,Final,Federal Register (2006-02-10),Download,624023,596483.3 acres
1193,"Fern, pendant kihi",Adenophorus periens,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,17844,26250.6 acres
1148,No common name,Schiedea nuttallii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,20219,7747.3 acres
1693,Hulumoa,Korthalsella degeneri,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,27915,1637.0 acres
10757,"crayfish, Slenderclaw",Cambarus cracens,Wherever found,Crustaceans,Region 4,Proposed Threatened,Proposed,Federal Register (2018-10-09),,97356,
472,"Meshweaver, Robber Baron Cave",Cicurina baronia,Wherever found,Arachnids,Region 2,Endangered,Final,Federal Register (2012-02-14),Download,876148,323.0 acres
1136,Kiponapona,Phyllostegia racemosa,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,196172,7074.1 acres
598,Lo`ulu,Pritchardia remota,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-05-22),Download,42490,185.1 acres
344,"Rabbitsfoot, rough",Quadrula cylindrica strigillata,Wherever found,Clams,Region 5,Endangered,Final,Federal Register (2004-08-31),Download,80069,262.4 miles
954,Kamakahala,Labordia cyrtandrae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,29952,39203.3 acres
6672,"Rockcress, Georgia",Arabis georgiana,Wherever found,Flowering Plants,Region 4,Threatened,Final,Federal Register (2014-09-12),Download,22694,510.4 acres
1245,"Snail, Pecos assiminea",Assiminea pecos,Wherever found,Snails,Region 2,Endangered,Final,Federal Register (2011-06-07),Download,567248,459.1 acres
9707,"Sea turtle, loggerhead",Caretta caretta,Northwest Atlantic Ocean DPS,Reptiles,Region 4,Threatened,Final,Federal Register (2014-07-10),Download,173830,707.5 miles
3671,No common name,Agave eggersiana,Wherever found,Flowering Plants,Region 4,Endangered,Final,Federal Register (2014-09-09),Download,182671,42.9 acres
35,"Mouse, Perdido Key beach",Peromyscus polionotus trissyllepsis,Wherever found,Mammals,Region 4,Endangered,Final,Federal Register (2006-10-12),Download,202370,1237.6 acres
1609,Alani,Melicope degeneri,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,196022,14384.1 acres
602,No common name,Schiedea hookeri,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,20209,41275.4 acres
52,"Mouse, Preble's meadow jumping",Zapus hudsonius preblei,wherever found,Mammals,Region 6,Threatened,Final,Federal Register (2010-12-15),Download,609781,31615.0 acres
8231,"Salamander, Jollyville Plateau",Eurycea tonkawae,Wherever found,Amphibians,Region 2,Threatened,Final,Federal Register (2013-08-20),Download,668293,3305.2 acres
635,`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,Wherever found,Flowering Plants,Region 1,Threatened,Final,Federal Register (2016-03-30),Download,185198,40587.6 acres
366,"Bankclimber, purple (mussel)",Elliptoideus sloatianus,Wherever found,Clams,Region 4,Threatened,Final,Federal Register (2007-11-15),Download,80298,821.4 miles
814,No common name,Remya kauaiensis,Wherever found,Flowering Plants,Region 1,Endangered,Proposed,Federal Register (2003-02-27),Download,38817,3185.8 acres
589,No common name,Phyllostegia hirsuta,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196163,39203.3 acres
3084,Kopiko,Psychotria hexandra ssp. oahuensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,35103,31073.3 acres
584,Lau `ehu,Panicum niihauense,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),,40981,
154,"Sea turtle, leatherback",Dermochelys coriacea,Wherever found,Reptiles,Region 4,Endangered,Final,Federal Register (1999-03-23),Download,173843,15654.4 acres
1051,Haha,Cyanea lobata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,34714,6473.6 acres
6596,"Amphipod, Pecos",Gammarus pecos,Wherever found,Crustaceans,Region 2,Endangered,Final,Federal Register (2013-07-09),Download,93792,463.0 acres
1001,No common name,Silene hawaiiensis,Wherever found,Flowering Plants,Region 1,Threatened,Final,Federal Register (2003-07-02),Download,505230,6755.2 acres
4162,"Springsnail, Chupadera",Pyrgulopsis chupaderae,Wherever found,Snails,Region 2,Endangered,Final,Federal Register (2012-07-12),Download,568194,0.3 acres
759,No common name,Lobelia oahuensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,503519,31408.4 acres
787,"Orcutt grass, Sacramento",Orcuttia viscida,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2006-02-10),Download,504052,33266.4 acres
1183,Nanu,Gardenia mannii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,35161,33692.4 acres
916,`aku`aku,Cyanea platyphylla,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,34731,7232.4 acres
4961,Haha,Cyanea kuhihewa,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,565111,4913.8 acres
1141,Hala pepe,Pleomele hawaiiensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-07-02),Download,504448,31766.1 acres
1261,"Amphipod, Noel's",Gammarus desperatus,Wherever found,Crustaceans,Region 2,Endangered,Final,Federal Register (2011-06-07),Download,656839,64.4 acres
507,"Milk-vetch, Braunton's",Astragalus brauntonii,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2006-11-14),Download,25443,2875.8 acres
619,Liliwai,Acaena exigua,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,182028,1479.1 acres
8503,"Beetle, Casey's June",Dinacoma caseyi,Wherever found,Insects,Region 8,Endangered,Final,Federal Register (2011-09-22),Download,-861,678.9 acres
1180,`Akoko,Euphorbia rockii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,501457,31073.3 acres
2619,Kopiko,Psychotria grandiflora,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,35098,17261.3 acres
7177,"Pigtoe, narrow",Fusconaia escambia,Wherever found,Clams,Region 4,Threatened,Final,Federal Register (2012-10-10),Download,80047,2334.8 acres; 591.2 miles
915,Haha,Cyanea pinnatifida,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,34730,7747.3 acres
569,"Bladderpod, Zapata",Lesquerella thamnophila,Wherever found,Flowering Plants,Region 2,Endangered,Final,Federal Register (2000-12-22),Download,23231,5316.5 acres
1113,Na`ena`e,Dubautia pauciflorula,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2003-02-27),Download,196319,2011.7 acres
1232,Kamakahala,Labordia tinifolia var. lanaiensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),0 Acres or Miles Designated,528653,0 Acres or Miles
58,"Shrew, Buena Vista Lake ornate",Sorex ornatus relictus,Wherever found,Mammals,Region 8,Endangered,Final,Federal Register (2013-07-02),Download,633864,2426.7 acres
7150,"Madtom, chucky",Noturus crypticus,Wherever found,Fishes,Region 4,Endangered,Final,Federal Register (2012-10-16),Download,-420,17.6 miles
1166,"Ceanothus, Vail Lake",Ceanothus ophiochilus,Wherever found,Flowering Plants,Region 8,Threatened,Final,Federal Register (2007-09-27),Download,506889,192.8 acres
468,"Spider, spruce-fir moss",Microhexura montivaga,Wherever found,Arachnids,Region 4,Endangered,Final,Federal Register (2001-07-06),Download,861657,9516.0 acres
575,Alani,Melicope saint-johnii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196053,9454.4 acres
8172,"Amphipod, diminutive",Gammarus hyalleloides,Wherever found,Crustaceans,Region 2,Endangered,Final,Federal Register (2013-07-09),Download,656840,19.2 acres
1196,"diellia, Asplenium-leaved",Asplenium dielerectum,Wherever found,Ferns and Allies,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,17496,37668.2 acres
1097,`Oha wai,Clermontia oblongifolia ssp. brevipes,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,523875,26235.0 acres
800,Kuahiwi laukahi,Plantago princeps,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),Download,32922,16213.7 acres
1223,`Akoko,Euphorbia deppeana,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,28157,5241.9 acres
1152,No common name,Silene perlmanii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,195408,9454.4 acres
860,Opuhe,Urera kaalae,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,19206,33692.4 acres
572,No common name,Lobelia koolauensis,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,845375,25740.9 acres
2823,"Manzanita, Franciscan",Arctostaphylos franciscana,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2013-12-20),Download,184509,203.5 acres
1226,No common name,Neraudia angulata,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,19174,10160.2 acres
566,"Goldfields, Contra Costa",Lasthenia conjugens,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2006-02-10),Download,37837,14518.1 acres
1256,"fly, Hawaiian picture-wing",Drosophila tarphytrichia,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2008-12-04),Download,146579,821.8 acres
10290,"spineflower, Robust",Chorizanthe robusta var. robusta,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2002-05-28),Download,527356,468.5 acres
8683,"Pocket gopher, Olympia",Thomomys mazama pugetensis,Wherever found,Mammals,Region 1,Threatened,Final,Federal Register (2014-04-09),Download,900463,658.1 acres
9955,Naenae,Dubautia kenwoodii,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2010-04-13),Download,780292,2549.4 acres
500,"Ambrosia, San Diego",Ambrosia pumila,Wherever found,Flowering Plants,Region 8,Endangered,Final,Federal Register (2010-11-30),Download,36517,832.5 acres
768,Alani,Melicope lydgatei,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2012-09-18),Download,196032,33692.4 acres
1118,kopa,Kadua cordata remyi,Wherever found,Flowering Plants,Region 1,Endangered,Final,Federal Register (2016-03-30),0 Acres or Miles Designated,528340,0 Acres or Miles
4112,Steelhead,Oncorhynchus (=Salmo) mykiss,Upper Willamette River DPS,Fishes,NOAA,Threatened,Final,Federal Register (2000-02-16),Download,161989,17209.2 miles
1258,"fly, Hawaiian picture-wing",Drosophila ochrobasis,Wherever found,Insects,Region 1,Endangered,Final,Federal Register (2008-12-04),Download,-832,438.0 acres
372,"Pocketbook, finelined",Lampsilis altilis,Wherever found,Clams,Region 4,Threatened,Final,Federal Register (2004-07-01),Download,79997,8506.1 acres
